id,name,location_area
1,bulbasaur,cerulean-city-area
1,bulbasaur,pallet-town-area
1,bulbasaur,lumiose-city-area
1,bulbasaur,alola-route-2-main
2,ivysaur,Desconhecido
3,venusaur,Desconhecido
4,charmander,pallet-town-area
4,charmander,kanto-route-24-area
4,charmander,lumiose-city-area
4,charmander,alola-route-3-main
5,charmeleon,Desconhecido
1,bulbasaur,cerulean-city-area
1,bulbasaur,pallet-town-area
1,bulbasaur,lumiose-city-area
1,bulbasaur,alola-route-2-main
2,ivysaur,Desconhecido
3,venusaur,Desconhecido
4,charmander,pallet-town-area
4,charmander,kanto-route-24-area
4,charmander,lumiose-city-area
4,charmander,alola-route-3-main
5,charmeleon,Desconhecido
1,bulbasaur,cerulean-city-area
1,bulbasaur,pallet-town-area
1,bulbasaur,lumiose-city-area
1,bulbasaur,alola-route-2-main
2,ivysaur,Desconhecido
3,venusaur,Desconhecido
4,charmander,pallet-town-area
4,charmander,kanto-route-24-area
4,charmander,lumiose-city-area
4,charmander,alola-route-3-main
5,charmeleon,Desconhecido
1,bulbasaur,cerulean-city-area
1,bulbasaur,pallet-town-area
1,bulbasaur,lumiose-city-area
1,bulbasaur,alola-route-2-main
2,ivysaur,Desconhecido
3,venusaur,Desconhecido
4,charmander,pallet-town-area
4,charmander,kanto-route-24-area
4,charmander,lumiose-city-area
4,charmander,alola-route-3-main
5,charmeleon,Desconhecido
1,bulbasaur,cerulean-city-area
1,bulbasaur,pallet-town-area
1,bulbasaur,lumiose-city-area
1,bulbasaur,alola-route-2-main
2,ivysaur,Desconhecido
3,venusaur,Desconhecido
4,charmander,pallet-town-area
4,charmander,kanto-route-24-area
4,charmander,lumiose-city-area
4,charmander,alola-route-3-main
5,charmeleon,Desconhecido
6,charizard,Desconhecido
7,squirtle,vermilion-city-area
7,squirtle,pallet-town-area
7,squirtle,lumiose-city-area
7,squirtle,seaward-cave-area
8,wartortle,Desconhecido
9,blastoise,Desconhecido
10,caterpie,eterna-forest-area
10,caterpie,sinnoh-route-204-south-towards-jubilife-city
10,caterpie,sinnoh-route-204-north-towards-floaroma-town
10,caterpie,johto-route-30-area
10,caterpie,johto-route-31-area
10,caterpie,ilex-forest-area
10,caterpie,johto-route-34-area
10,caterpie,johto-route-35-area
10,caterpie,national-park-area
10,caterpie,unknown-all-bugs-area
10,caterpie,johto-route-36-area
10,caterpie,johto-route-37-area
10,caterpie,johto-route-38-area
10,caterpie,johto-route-39-area
10,caterpie,lake-of-rage-area
10,caterpie,kanto-route-26-area
10,caterpie,kanto-route-27-area
10,caterpie,kanto-route-2-south-towards-viridian-city
10,caterpie,kanto-route-24-area
10,caterpie,kanto-route-25-area
10,caterpie,kanto-route-2-north-towards-pewter-city
10,caterpie,viridian-forest-area
10,caterpie,pattern-bush-area
10,caterpie,kalos-route-2-area
10,caterpie,santalune-forest-area
10,caterpie,azalea-town-area
10,caterpie,alola-route-1-east
10,caterpie,alola-route-1-south
10,caterpie,alola-route-1-west
10,caterpie,alola-route-5-area
10,caterpie,lush-jungle-north
10,caterpie,lush-jungle-south
10,caterpie,lush-jungle-west
10,caterpie,melemele-meadow-area
11,metapod,eterna-forest-area
11,metapod,johto-route-30-area
